index,name,latitude,longitude
0,뽕나무쟁이 선릉본점,37.5031613,127.0519876
1,농민백암순대 본점,37.5037065,127.0530366
2,도쿄등심 선릉점,37.5047331,127.0484548
3,마담밍 선릉점,37.5034237,127.0502256
4,신동궁감자탕뼈숯불구이 선릉직영점,37.5040676,127.0528651
5,경천애인2237,37.5059881,127.0525341
6,김돈이 본점,37.5060675,127.0492318
7,진풍정 강남점,37.5031376,127.0479265
8,신도세기 선릉점,37.5031376,127.0479265
9,별양집,37.5043565,127.0436527
10,스시소라,37.5043669,127.0546834
11,피양콩할마니 본점,37.5040712,127.0552278
12,사람사는고깃집김일도 선릉점,37.5026782,127.0517483
13,테라로사 포스코센터점,37.5058645,127.0562396
14,진대감 선릉점,37.5039936,127.053979
15,마초갈비 선릉역점,37.5051059,127.0474129
16,참치그라,37.5049219,127.0467242
17,다노이 선릉점,37.5057887,127.0475015
18,반룡산,37.50447310000001,127.055795
19,수담한정식,37.51047260000001,127.0459647
20,세드라,37.4861278,126.9673339
21,하동관 강남분점,37.5050626,127.0553827
22,코르바니,37.5046691,127.0427643
23,어로장,37.5031376,127.0479265
24,타코벨 선릉점,37.4989754,127.0364483
25,바스버거 선릉점,37.5041787,127.054256
26,마라테이블,37.5030346,127.0504691
27,고반식당 선릉점,37.5024862,127.0518514
28,두레국수,37.5048056,127.0428112
29,삼미대포 선릉점,37.5050504,127.0472394
30,능라도 강남점,37.5096357,127.0555218
31,평가옥 삼성점,37.5069677,127.0528285
32,통영집,37.506459,127.0473866
33,몰타참치,37.5049198,127.0551208
34,로브니,37.5028306,127.0488465
35,코벤트가든 선릉점,37.501534,127.0506476
36,잇쇼우,37.5064879,127.048381
37,군자대한곱창 선릉점,37.5037333,127.0525312
38,동보성 강남점,37.50438570000001,127.0499612
39,츄라우미 역삼본점,37.5032912,127.0402925
40,미쓰양꼬치,37.5031025,127.0515111
41,인평일등추어탕,37.507988,127.044826
42,스시마이우 선릉역점,37.5049219,127.0467242
43,카페레이어스튜디오,37.5027386,127.0548962
44,오징어풍경,37.5031025,127.0515111
45,서래향,37.5052025,127.0468812
46,센도수산,37.5022465,127.0524075
47,60년전통 신촌황소곱창 선릉직영점,37.5036772,127.0523905
48,창고43 역삼점,37.5025597,127.044093
49,수다 대치점,37.5040758,127.0526614
50,제주은희네해장국 선릉직영점,37.5067431,127.0539115
51,버드나무집 역삼점,37.5052564,127.0419549
52,남도사계고운님,37.5043061,127.0558774
53,바게트K,37.5002567,127.0414329
54,해우리 선릉L7점,37.5056545,127.0515387
55,이승재참치,37.5025432,127.0521063
56,초가집삼계탕,37.5055187,127.0472097
57,청국장서갈비,37.502459,127.0502604
58,용호낙지 강남점,37.5058415,127.0521663
59,이자카야나무 선릉점,37.5056846,127.0481203
60,김영태스시앤사시미마을 강남본점,37.5045113,127.0465394
61,샤오바오우육면,37.5037333,127.0525312
62,대찬횟집,37.5031486,127.0513024
63,스시키,37.5088515,127.0438408
64,장정정,37.5079717,127.0553302
65,블랙랩,37.5066751,127.0490431
66,마초야,37.4998537,127.0530269
67,외고집설렁탕,37.5110777,127.0542654
68,참치공방 선릉점,37.5041787,127.054256
69,카페봄,37.5045641,127.043701
70,파이어벨 대치점,37.5003498,127.0521928
71,꽃새우영번지 역삼점,37.5061352,127.0413317
72,써브웨이 선릉점,37.5047331,127.0484548
73,팀호완 삼성점,37.5114106,127.0568534
74,이태리부대찌개 선릉직영점,37.5028629,127.0500619
75,버거킹 선릉역점(2021년10월27일까지 휴업),37.4969037,127.029551
76,재패니즈다이닝안심,37.5050867,127.0425859
77,별미곳간,37.5032931,127.0512316
78,사까나야바로바로 선릉점,37.5068237,127.0476874
79,보영만두 선릉점,37.5045291,127.0537958
80,청춘화로 선릉점,37.5054842,127.047511
81,수라선 역삼점,37.5047692,127.0413084
82,우밀가 안동국시 선릉점,37.5048006,127.0464328
83,대도식당 삼성점,37.5101418,127.0544681
84,선릉순대국,37.5046896,127.0438475
85,이도곰탕 본점,37.5033102,127.0384205
86,이남장,37.5039245,127.0509781
87,백운봉막국수 본점,37.5034277,127.0395658
88,스타벅스 선릉세화빌딩점,37.5037537,127.0512025
89,맥도날드 선릉점,37.5035079,127.0470215
90,모범떡볶이1976 선릉점,37.5053924,127.0470812
91,카토멘 대치본점,37.5041787,127.054256
92,모찌방,37.5024807,127.0548791
93,스타벅스 선릉역점,37.5086154,127.0597808
94,일미집 강남직영점,37.5071351,127.053816
95,스시산원,37.5064685,127.050913
96,치찌중화식탁,37.5044208,127.0463754
97,봉우리 역삼본점,37.5030033,127.0381337
98,천용,37.5022941,127.0441156
99,조인바이트,37.5114941,127.0445989
100,비야게레로,37.511924,127.0527715
101,금수복국 대치점,37.5050235,127.0553255
102,가연,37.5048631,127.0460203
103,애니홀,37.5070389,127.0536091
104,모리향,37.5013733,127.0528449
105,풍년집 선릉점,37.5039457,127.0548618
106,나무,37.5040758,127.0526614
107,스타벅스 선릉동신빌딩R점,37.5053116,127.0503634
108,도원,37.5037033,127.0540754
109,우밀가 대치본점,37.5037022,127.0548309
110,조개천국,37.5039163,127.0531045
111,한가네숯불닭갈비 역삼점,37.5055187,127.0472097
112,장진참치,37.5032246,127.0510085
113,항아리보쌈 선릉점,37.5050643,127.0465052
114,미트앤번버거샵 강남점,37.5030366,127.0479111
115,돈그리아,37.5027602,127.0506276
116,부타이,37.5061296,127.0600269
117,칠랑고,37.5025686,127.0526839
118,라피자노스트라,37.50438570000001,127.0499612
119,교대이층집 선릉점,37.5041966,127.0527798
120,카발,37.5026426,127.0506822
121,하오,37.5041541,127.0538876
122,이가네양꼬치 선릉점,37.50346529999999,127.0522642
123,김태주선산곱창 강남점,37.5023725,127.050715
124,투썸플레이스 테헤란선릉역점,37.5033944,127.0478146
125,후웨이즈텐카민,37.5091845,127.0437936
126,고반식당 삼성점,37.5081672,127.057125
127,강정희간장새우,37.5025432,127.0521063
128,우리집만두 선릉점,37.5028629,127.0500619
129,남원추어탕,37.5069025,127.052559
130,뚝심한우 선릉역점,37.5045442,127.0507314
131,청자골,37.5036275,127.0560839
132,육시리 선릉점,37.5050714,127.0537731
133,그릴1492 삼성1호점,37.5065376,127.0533463
134,고메고매 선릉직영점,37.5045644,127.0541516
135,오레노 선릉점,37.5045541,127.0467062
136,이백 역삼점,37.5012996,127.0419183
137,순남시래기 서울선릉점,37.5043669,127.0546834
138,라무진 선릉역점,37.5015272,127.0525975
139,설빙 선릉점,37.50295,127.0481279
140,선릉설렁탕,37.5051713,127.0463591
141,무한장어 역삼점,37.5064483,127.0470576
142,대치동집,37.5032567,127.0517557
143,우밀면옥 상록점,37.5038913,127.0429552
144,예천 유산균한우정육타운,37.5102692,127.0540706
145,스노우폭스 선릉역점,37.5056545,127.0515387
146,일미리금계찜닭 선릉점,37.5049219,127.0467242
147,기세끼 선릉점,37.5052025,127.0468812
148,레이어프로젝트,37.5023481,127.0519312
149,수림복국 본관,37.5067503,127.0534646
150,포하임 선릉점,37.5034961,127.0508263
151,클럽케이서울,37.5064879,127.048381
152,브라운돈까스 선릉점,37.505932,127.0485165
153,신라스테이 역삼 카페,37.5046955,127.0412371
154,르브런쉭 대치점,37.5028201,127.0591274
155,한성양갈비구이,37.5038986,127.0537008
156,큰입아구찜,37.5057887,127.0475015
157,개그맨정용국의용곱창,37.5080414,127.0402724
158,던킨도너츠 선릉역점,37.5036312,127.0471722
159,마노디셰프 삼성점,37.5015994,127.0415763
160,놀란치킨 선릉점,37.5056037,127.0542018
161,문어랑 상록점,37.5053961,127.0425231
162,샐러디 선릉점,37.5048006,127.0464328
163,배스킨라빈스 선릉점,37.5053571,127.0472785
164,마녀김밥 대치점,37.5046812,127.056471
165,명랑회관 선릉점,37.5042892,127.0543484
166,미랑,37.5047409,127.0469651
167,살루쪼,37.5112764,127.0454217
168,우마쿠라,37.5066305,127.0516791
169,스시노스시,37.5054603,127.0534361
170,롯데리아 선릉점,37.5031218,127.0456251
171,피쉬스타 역삼점,37.5003202,127.0430392
172,맥주를듣는사람들 아크 선릉점,37.5056003,127.0470515
173,쫀득이족발,37.503763,127.0527581
174,일일향 삼성점,37.5087587,127.0576265
175,부산양곱창,37.504704,127.0426202
176,판동면옥,37.5028148,127.0563135
177,알로이타이,37.5076267,127.0555747
178,오징어청춘 대치본점,37.503941,127.053258
179,세광양대창 선릉점,37.5026782,127.0517483
180,해담일식,37.5038847,127.0408154
181,더피자스탠드,37.5036307,127.054454
182,시골빈대떡파전 선릉본점,37.5053924,127.0470812
183,아우어베이커리 싸이더스점,37.5128684,127.0425125
184,황금어장,37.5047264,127.0436084
185,붓처스컷 삼성점,37.5086688,127.0583335
186,멜로워 역삼더퍼스트,37.5023351,127.044391
187,멍텅구리꼼장어막창 삼성동본점,37.5118249,127.0484077
188,하남돼지집 선릉1호점,37.503003,127.0506776
189,시추안하우스 삼성점,37.5097159,127.0581138
190,바우한우,37.5033593,127.0478071
191,유하제과,37.5007656,127.0510012
192,더차이나,37.5047405,127.0526259
193,싸리골,37.5034291,127.0516811
194,동해수산,37.5052025,127.0468812
195,무리무리,37.5046928,127.0451369
196,도쿄술집 선릉역점,37.5035991,127.0522026
197,고메램 삼성점,37.509071,127.0571023
198,정통원조한방삼계탕,37.5032859,127.0261352
199,강남묵호등대,37.5077118,127.0544885
200,진가와 한국본점,37.5030245,127.0381908
201,맥도날드 강남삼성DT점,37.5107997,127.0473156
202,해담채 삼성점,37.5065983,127.0573292
203,싸프란겔,37.5026159,127.0516201
204,남도구들한정식 본점,37.5067139,127.0549965
205,행복김밥,37.5028629,127.0500619
206,신흥정육식당,37.5005716,127.0516483
207,누구나홀딱반한닭 선릉점,37.5052423,127.0477912
208,예향,37.5064958,127.0503789
209,쌍룡갈비,37.5030364,127.0513558
210,로네펠트,37.5588692,126.9869689
211,아오끼,37.5064978,127.0495137
212,에슬로우커피 선릉2호점,37.5039245,127.0509781
213,리밍,37.503987,127.0400936
214,브루클린더버거조인트 삼성점,37.5125815,127.0555616
215,홍대포,37.5043647,127.0532844
216,바나프레소 선릉역사거리점,37.50463209999999,127.0482963
217,금복당,37.5114329,127.0500811
218,진대감 역삼점,37.5027322,127.0372573
219,칠백식당 삼성직영점,37.5118334,127.0470016
220,본죽 선릉역점,37.5048006,127.0464328
221,반포식스 선릉역점,37.5057966,127.0485906
222,스타벅스 선릉로점,37.5049219,127.0467242
223,희 카롱,37.5026658,127.0547049
224,쏭타이 역삼점,37.5056471,127.0402545
225,연타발 선릉점,37.5056037,127.0542018
226,우노,37.5049503,127.0531718
227,전주순대국,37.506555,127.052707
228,오목집 한티점,37.4976232,127.0540944
229,하얼빈가정식 본점,37.5070305,127.0530132
230,파리바게뜨 카페선릉점,37.5056824,127.0481589
231,화포식당 선릉점,37.5037768,127.0533506
232,불이아 역삼점,37.5025081,127.0365205
233,하오마라 선릉점,37.50468850000001,127.046156
234,선릉을지순대국,37.50401919999999,127.0534629
235,빌리앤오티스,37.5014417,127.0509383
236,브롱스 선릉점,37.5029723,127.051904
237,투썸플레이스 대치선릉점,37.5043647,127.0532844
238,의령전원,37.5046469,127.0545053
239,곰바위,37.5101824,127.0552627
240,비언유주얼,37.5095398,127.0446001
241,파크루안 역삼점,37.4994804,127.0272748
242,우가네,37.5062857,127.0490221
243,원조광양불고기 삼성점,37.5091251,127.0549921
244,광주식당,37.5009356,127.0528708
245,낭만옵빠 선릉점,37.5055714,127.0463709
246,제주보쌈아강족발 선릉점,37.5051518,127.0476362
247,양가식당,37.5033085,127.0519179
248,난만,37.5056506,127.0405711
249,맘스터치 강남선릉점,37.504672,127.0460204
250,딸부자네불백 역삼점,37.5041689,127.0454229
251,지아니스나폴리 역삼점,37.5026264,127.0375403
252,해장옥,37.5040758,127.0526614
253,구이마마 대치점,37.5035282,127.0542597
254,진대감 삼성점,37.5101805,127.0557039
255,해초록 별채사랑방,37.5098097,127.0546363
256,오카에리,37.5053376,127.0428666
257,란수사,37.503891,127.0405891
258,샹베리,37.5074142,127.0453827
259,삼다족발,37.5027256,127.0385569
260,삼육가 삼성역점,37.5093947,127.0564897
261,껠끄쇼즈,37.49695579999999,127.05661
262,최가네버섯샤브매운탕칼국수 대치점,37.4979075,127.0539336
263,커피빈 선릉역3번출구세방빌딩점,37.50375,127.0488959
264,이대성의진면목,37.5101891,127.0571256
265,보름쇠 삼성점,37.5092786,127.056619
266,카츠젠 선릉점,37.50297800000001,127.0502663
267,1260이베리코흑돼지 강남직영점,37.5027412,127.0503903
268,벽돌집60-5,37.5105852,127.0560562
269,청춘어람,37.5032656,127.0488308
270,강남수랏간,37.5006904,127.0520788
271,후지,37.5061448,127.0592248
272,박서방순대국밥 삼성본점,37.5086584,127.0559006
273,신전떡볶이 대치점,37.502459,127.0502604
274,대파집,37.5031451,127.0385097
275,제주삼육돈 선릉직영점,37.504399,127.0434565
276,전봇대,37.5080414,127.0402724
277,아카라,37.5101803,127.0399249
278,호또치킨 강남본점,37.5033877,127.0391897
279,마라차이즈,37.5041457,127.051482
280,대파양곱창,37.5020709,127.0523181
281,생활맥주 선릉역점,37.5028998,127.0516279
282,강남본가가마골,37.5061137,127.0466898
283,달빛보쌈 논현점,37.5109423,127.0427735
284,영동떡볶이,37.4973162,127.0486258
285,청담동장독대 김치찌개,37.503291,127.0514272
286,영덕물회,37.5049645,127.0441856
287,선릉루킹래징,37.5008256,127.0511825
288,노가리슈퍼 선릉점,37.5024039,127.0521566
289,오성식당,37.5051584,127.058114
290,식물원282,37.5104221,127.0568478
291,곰작골나주곰탕 선릉점,37.5045113,127.0465394
292,명가교동짬뽕 선릉2호점,37.5049219,127.0467242
293,할리스 선릉샹제리제점,37.50438570000001,127.0499612
294,잭슨피자 대치점,37.5001824,127.0514293
295,국고집,37.5035991,127.0522026
296,친친,37.5060621,127.0509138
297,진수사,37.5027481,127.040097
298,뱅가드와인머천트 강남점,37.5092817,127.0417801
299,바른치킨 강남선릉점,37.5035313,127.0510544
300,차호랑,37.50447310000001,127.055795
301,보노보노플러스 삼성점,37.5065516,127.0572702
302,한미옥,37.509902,127.0418186
303,해피해피케이크,37.5107646,127.0431898
304,이가네양꼬치 대치동점,37.5055437,127.0581857
305,전가네손칼국수,37.5046548,127.0458963
306,메이크샐러드 선릉점,37.5049945,127.0431141
307,교대이층집 삼성점,37.5088619,127.0566717
308,호신각,37.5081672,127.057125
309,마부육전 선릉직영점,37.5031176,127.0518242
310,우시야 역삼점,37.4982295,127.0430025
311,데쎄르룸,37.51089109999999,127.0424597
312,하루,37.5076258,127.0555641
313,롤리폴리꼬또,37.5112342,127.0423219
314,코이라멘 한티역점,37.49816089999999,127.0528346
315,교동전선생 선릉역점,37.505756,127.0472497
316,소공순대,37.5023173,127.0504533
317,달콤한고양이 대치점,37.5018673,127.0528782
318,돼지연구소 선정릉직영점,37.5091208,127.0436055
319,엔제리너스 선릉골드로즈점,37.5041284,127.0520308
320,북창동순두부 선릉2호점,37.5027757,127.0512144
321,나따오비까 대치점,37.4981546,127.0544021
322,나주육곱식당 강남직영점,37.5056183,127.0496142
323,맑은바닷가,37.5111638,127.0448712
324,춘이네닭도리탕 동생1호선릉직영점,37.5024039,127.0521566
325,뚜레쥬르 카페선릉역점,37.5054047,127.04827
326,봉산집,37.5119104,127.0543383
327,복돈이가마솥순대국,37.5036614,127.0404993
328,경평면옥,37.5108204,127.055723
329,연,37.5057517,127.0423716
330,우진가 더 챔버스,37.5031987,127.0375646
331,황태마을,37.50528449999999,127.0549501
332,고운님한우곱창,37.5043061,127.0558774
333,레드비틀,37.5055864,127.0467745
334,마구로젠,37.5003294,127.0400803
335,에그드랍 선릉역점,37.5030366,127.0479111
336,대우부대찌개,37.5027159,127.0352647
337,상아김밥 선릉직영점,37.50243630000001,127.0466551
338,신강양꼬치 선릉점,37.506682,127.054964
339,쇼유식당,37.5043565,127.0436527
340,흑돈가 삼성역점,37.5124803,127.0563072
341,스미즈,37.5019041,127.0426921
342,순남시래기 역삼점,37.5012191,127.0402263
343,장쓰동,37.5034353,127.0368479
344,한성양꼬치 선릉2호점,37.5031176,127.0518242
345,윤가 역삼점,37.504562,127.0431151
346,탐라도야지,37.5110535,127.055694
347,선릉본가 쭈꾸미와대패삼겹,37.50637710000001,127.0492969
348,니뽕내뽕 선릉점,37.5024862,127.0518514
349,어반81,37.5129469,127.0481265
350,스타벅스 르네상스사거리점,37.5025597,127.044093
351,맛있는제주,37.5051125,127.0424329
352,동해식당,37.5045972,127.0428907
353,강남면옥 대치점,37.4974283,127.0573301
354,한앤둘치킨 선릉점,37.5052025,127.0468812
355,강남샤오츠,37.5073223,127.0409399
356,연스시,37.5031143,127.040374
357,파리바게뜨 선릉아이타워점,37.5035079,127.0470215
358,인기명 삼성점,37.5113916,127.0560528
359,김봉남포장마차 선릉점,37.5069291,127.0531841
360,에드빗커피,37.5095897,127.0519176
361,빽다방 선릉역1호점,37.5047409,127.0469651
362,담뿍화로된장찌개 대치점,37.5045764,127.0527996
363,카페인더시티,37.51030040000001,127.0576253
364,바나프레소 선정릉점,37.5098784,127.0435857
365,히라이 선릉점,37.5027486,127.0519928
366,한죽그리고삼계탕 본점,37.5039163,127.0531045
367,커리146 강남점,37.50582989999999,127.047139
368,한솥도시락 르네상스호텔사거리점,37.50139710000001,127.0426942
369,지유가오카핫초메 선릉점,37.5030366,127.0479111
370,카페413프로젝트,37.5023218,127.0344543
371,쇠뚜레,37.5047038,127.0429335
372,CSI VR방탈출카페 대치선릉점,37.5032931,127.0514539
373,오또상스시,37.5048683,127.0437729
374,전통백암순대국 삼성점,37.5092617,127.0561894
375,육시리 역삼본점,37.4977552,127.038745
376,사주테라피,37.50962630000001,127.0426871
377,천사의섬,37.5043241,127.052716
378,소라야,37.5027412,127.0503903
379,투썸플레이스 선릉ING점,37.5031152,127.0460448
380,범표원두 역삼점,37.5050143,127.0398871
381,스시류,37.50424599999999,127.0582827
382,스타벅스 선정릉역,37.51075489999999,127.0445597
383,어람촌,37.5047264,127.0436084
384,신도세기 삼성역점,37.5075512,127.060561
385,쟈르뎅페르뒤,37.5061835,127.040352
386,등촌샤브칼국수 선릉점,37.5014721,127.0522465
387,수다 삼성2호점,37.5108316,127.0567895
388,그란구스또,37.501937,127.0595671
389,아야커피,37.5044373,127.0430715
390,삼백집 역삼역점,37.5054408,127.0403668
391,카메스시,37.5138254,127.0417458
392,참치공간,37.5035912,127.0536832
393,705사케집 선릉점,37.5051059,127.0474129
394,베이징코야 역삼동점,37.4998256,127.0391641
395,청춘닭볶이,37.5019335,127.052373
396,김태완스시,37.4981873,127.0536553
397,선릉양조장족발,37.5088058,127.0442022
398,써브웨이 삼성점,37.5086584,127.0559006
399,빌리엔젤 신라스테이점,37.5142922,127.0349377
400,전주콩나물국밥,37.5037637,127.0531732
401,명동피자 대치점,37.5015272,127.0525975
402,고갯마루,37.4993626,127.0394064
403,커피마마퀸 선릉점,37.5045291,127.0537958
404,여수오동도,37.50209090000001,127.0582996
405,분틀 선릉점,37.5030694,127.0508736
406,스시유리,37.5097723,127.0569487
407,신라다랑원,37.5113216,127.0497963
408,자유참치,37.5046812,127.056471
409,이태리부대찌개 역삼GS점,37.5025853,127.0381436
410,용수사,37.5057344,127.0579281
411,동래정 선릉직영점,37.5047772,127.0434189
412,오더에스프레소,37.5114201,127.0554485
413,지구당 역삼두꺼비빌딩점,37.5028101,127.0447469
414,새집남원추어탕,37.5033832,127.0487716
415,원조양평해장국,37.502766,127.0447426
416,도마다리뼈다귀감자탕,37.5116872,127.0508934
417,명인등심 삼성직영점,37.5114106,127.0568534
418,7%칠백식당 포스코직영점,37.5061978,127.0580625
419,원조한방정통삼계탕,37.5091155,127.0562704
420,밀도 한티역점,37.4974998,127.0526427
421,스타벅스 삼성점,37.5069114,127.0555833
422,옛날농장,37.5024515,127.0392006
423,더차이홍 삼성점,37.5081948,127.0582195
424,황우양대창,37.5051337,127.0421645
425,볼빨간딱새우,37.505718,127.0468961
426,배스킨라빈스 대치점,37.5007656,127.0510012
427,커피빈 선릉로93길점,37.5056485,127.0478855
428,백수산,37.50302020000001,127.0395428
429,플로팅 L7강남점,37.5056545,127.0515387
430,일등추어탕,37.5038913,127.0429552
431,광수사,37.50798150000001,127.0543019
432,카페베네 선릉역점,37.5054325,127.0508253
433,선릉가든,37.506599,127.049992
434,홍백,37.5123103,127.0531965
435,남산노포식당 선릉본점,37.5034291,127.0516811
436,이디야커피 선릉역점,37.50383619999999,127.0481703
437,부엉이식당,37.5056728,127.0584469
438,어메이징타이,37.5048633,127.0439301
439,미성양꼬치 삼성점,37.5102583,127.0560875
440,동대문엽기떡볶이 대치점,37.5005716,127.0516483
441,정참치,37.5043061,127.0558774
442,포레스트힐링카페,37.5027431,127.0390374
443,커피빈 선릉로86길점,37.5033772,127.0506031
444,화수사,37.5080293,127.0547594
445,구을가,37.5129965,127.0430878
446,24시와구아구,37.5045291,127.0537958
447,몰트바 배럴,37.5106541,127.0553247
448,카페레꼴뜨,37.5091032,127.0425414
449,삼성동커피볶는집,37.5092272,127.0523271
450,아야진생태찌개 본점,37.511746,127.0547453
451,겐비이자카야,37.5032567,127.0517557
452,조개사냥,37.5082569,127.0405129
453,나향반점,37.5098599,127.0400716
454,88노가리 선릉본점,37.5039163,127.0531045
455,슐미랭삼 선릉점,37.5065465,127.0497483
456,스시쇼우키,37.5037639,127.0398081
457,네모오징어 선릉점,37.5048302,127.0442891
458,선릉궁중갈비탕곰탕,37.5032102,127.0486562
459,올툰24시만화카페 선릉점,37.5052025,127.0468812
460,대치정육식당 본점,37.5021874,127.0563938
461,카페그라노,37.5000979,127.0532545
462,타이거슈가 삼성로점,37.5091988,127.0573394
463,맷카페,37.5139316,127.0406178
464,미즈호노 스시야 대치점,37.5011253,127.0553011
465,오마치슌,37.5025304,127.0525351
466,채린,37.5056485,127.0478855
467,대독장 역삼점,37.5027266,127.0377912
468,지구당 현대타워점,37.50617829999999,127.053033
469,트라토리아모로,37.5107053,127.0508063
470,JVL부대찌개 포스코점,37.50317150000001,127.0471027
471,유리카모메 선릉식당,37.5076742,127.0537323
472,기네스하우스,37.5043993,127.0440514
473,포메인 선릉역점,37.5055164,127.0477029
474,본죽&비빔밥cafe 선릉점,37.5028629,127.0500619
475,호타루 선릉점,37.50468850000001,127.046156
476,갈비삼대참숯구이전문 강남역삼점,37.5035951,127.0393239
477,고기고샵 삼성역점,37.50610229999999,127.0585207
478,아리양,37.5099434,127.0415941
479,잼라운지,37.5050643,127.0465052
480,빽다방 선릉중앙점,37.5030346,127.0504691
481,제주몬트락 한티점,37.49818990000001,127.0531949
482,큰돈가,37.5041541,127.0538876
483,삼호복집,37.5034325,127.0399653
484,돝고기506,37.4982056,127.0361868
485,고메홈,37.5035706,127.0558505
486,시골진지상,37.5095792,127.0546493
487,로얄마카롱,37.5022311,127.0354847
488,사람사는 고깃집 김일도 삼성코엑스점,37.5111609,127.0559404
489,문배동육칼 삼성직영점,37.5086767,127.0561572
490,우리집,37.5030662,127.0387753
491,여수동촌 대치점,37.5033294,127.0574618
492,가나돈까스의집,37.5098824,127.037748
493,비블레스,37.5093121,127.057041
494,갈맛집,37.5065113,127.0531023
495,파리바게뜨 선릉진선점,37.5026766,127.0502102
496,마라공방 역삼점,37.50319340000001,127.036583
497,김양,37.5026582,127.0383519
498,젠제로,37.5152286,127.0432142
499,르플로우,37.510974,127.0520653
